distance,id,fullName,degree
2.2252442566675468,8471428,Pierre-Luc Letourneau-Leblond,86
2.2305254819118034,8473568,Andreas Nodl,107
2.167942962767362,8473932,Darroll Powe,142
2.1481383681013995,8471750,Ben Bishop,188
2.125429099551096,8474520,Jason Garrison,196
2.5122788486928966,8470119,Brett Skinner,24
2.3432796408766836,8470131,Dwight Helminen,44
2.1138104040137313,8473465,Jamie McGinn,228
2.215473989965672,8474094,Matt Halischuk,140
2.4335885925534724,8468884,Mitchell Fritz,35
2.47715870081859,8471480,Janne Pesonen,29
2.2339582783205705,8470302,Patrick Dwyer,106
2.134935304990758,8473461,Steve Mason,186
2.573805122788487,8474225,Nate Raduns,17
